Country ,Year ,Age,Users
Nigeria ,2018,35,0.4
Nigeria ,2018,36,0.35
Nigeria ,2018,37,0.35
Nigeria ,2018,38,0.4
Nigeria ,2018,39,0.25
Nigeria ,2018,40,0.25
Nigeria ,2018,41,0.2
Nigeria ,2018,42,0.25
Nigeria ,2018,43,0.2
Nigeria ,2018,44,0.15
Nigeria ,2018,45,0.15
Nigeria ,2018,46,0.15
Nigeria ,2018,47,0.15
Nigeria ,2018,48,0.2
Nigeria ,2018,49,0.15
Nigeria ,2018,50,0.15
Nigeria ,2018,51,0.09
Nigeria ,2018,52,0.1
Nigeria ,2018,53,0.1
Nigeria ,2018,54,0.08
Nigeria ,2018,55,0.08
Nigeria ,2018,56,0.06
Nigeria ,2018,57,0.15
Nigeria ,2018,58,0.2
Nigeria ,2018,59,0.05
Nigeria ,2018,60,0.045
Nigeria ,2018,61,0.035
Nigeria ,2018,62,0.035
Nigeria ,2018,63,0.03
Nigeria ,2018,64,0.025
Nigeria ,2018,65,0.15
